,$,main,par_init,par_fin,key_init,key_fin,id,break_line,comma,number,texto,char,true,false,oper_asign,if,else,while,for,return,not,input,break,output,oper_suma,oper_dif,oper_mod,oper_div,oper_mult,and,or,oper_identico,oper_diferente,oper_mayor,oper_menor,oper_menorigu,oper_mayorigu,character,boolean,string,integer
NEGACION,,,,,,,NEGACION ::= ε,,,NEGACION ::= ε,NEGACION ::= ε,NEGACION ::= ε,NEGACION ::= ε,NEGACION ::= ε,,,,,,,NEGACION ::= not,,,,,,,,,,,,,,,,,,,,
PILA_INPUT,,,,,,,,,,,,,,,,,,,,,,PILA_INPUT ::= input par_init id par_fin,,,,,,,,,,,,,,,,,,,
BREAK_ORACION,,,,,,,,,,,,,,,,,,,,,,,BREAK_ORACION ::= break break_line,,,,,,,,,,,,,,,,,,
FUERA_INIT,,,,,,,,,,,,,,,,,,,,,,,,FUERA_INIT ::= output par_init PRINT par_fin,,,,,,,,,,,,,,,,,
PRINT,,,,,,,PRINT ::= EXPRESION,,,PRINT ::= EXPRESION,PRINT ::= EXPRESION,PRINT ::= EXPRESION,PRINT ::= EXPRESION,PRINT ::= EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMA,,,,,,,,,,,,,,,,,,,,,,,,,SUMA ::= oper_suma,SUMA ::= oper_dif,SUMA ::= oper_mod,SUMA ::= oper_div,SUMA ::= oper_mult,,,,,,,,,,,,
Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y ::= and,Y ::= or,Y ::= oper_identico,Y ::= oper_diferente,Y ::= oper_mayor,Y ::= oper_menor,Y ::= oper_menorigu,Y ::= oper_mayorigu,,,,
EXPRESION,,,,,,,EXPRESION ::= VALOR_PARAMETRO TIPO_EXPRESION,,,EXPRESION ::= VALOR_PARAMETRO TIPO_EXPRESION,EXPRESION ::= VALOR_PARAMETRO TIPO_EXPRESION,EXPRESION ::= VALOR_PARAMETRO TIPO_EXPRESION,EXPRESION ::= VALOR_PARAMETRO TIPO_EXPRESION,EXPRESION ::= VALOR_PARAMETRO TIPO_EXPRESION,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPO_EXPRESION,,,,TIPO_EXPRESION ::= EXPRESION_NUMERICA,,,,TIPO_EXPRESION ::= EXPRESION_NUMERICA,,,,,,,,,,,,,,,,,TIPO_EXPRESION ::= EXPRESION_NUMERICA,TIPO_EXPRESION ::= EXPRESION_NUMERICA,TIPO_EXPRESION ::= EXPRESION_NUMERICA,TIPO_EXPRESION ::= EXPRESION_NUMERICA,TIPO_EXPRESION ::= EXPRESION_NUMERICA,TIPO_EXPRESION ::= LOGICA,TIPO_EXPRESION ::= LOGICA,TIPO_EXPRESION ::= LOGICA,TIPO_EXPRESION ::= LOGICA,TIPO_EXPRESION ::= LOGICA,TIPO_EXPRESION ::= LOGICA,TIPO_EXPRESION ::= LOGICA,TIPO_EXPRESION ::= LOGICA,,,,
EXPRESION_NUMERICA,,,,EXPRESION_NUMERICA ::= BONUS,,,,EXPRESION_NUMERICA ::= BONUS,,,,,,,,,,,,,,,,,EXPRESION_NUMERICA ::= BONUS,EXPRESION_NUMERICA ::= BONUS,EXPRESION_NUMERICA ::= BONUS,EXPRESION_NUMERICA ::= BONUS,EXPRESION_NUMERICA ::= BONUS,,,,,,,,,,,,
BONUS,,,,BONUS ::= ε,,,,BONUS ::= ε,,,,,,,,,,,,,,,,,BONUS ::= SUMA VALOR_PARAMETRO BONUS,BONUS ::= SUMA VALOR_PARAMETRO BONUS,BONUS ::= SUMA VALOR_PARAMETRO BONUS,BONUS ::= SUMA VALOR_PARAMETRO BONUS,BONUS ::= SUMA VALOR_PARAMETRO BONUS,,,,,,,,,,,,
LOGICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOGICA ::= Y VALOR_PARAMETRO,LOGICA ::= Y VALOR_PARAMETRO,LOGICA ::= Y VALOR_PARAMETRO,LOGICA ::= Y VALOR_PARAMETRO,LOGICA ::= Y VALOR_PARAMETRO,LOGICA ::= Y VALOR_PARAMETRO,LOGICA ::= Y VALOR_PARAMETRO,LOGICA ::= Y VALOR_PARAMETRO,,,,
TIPO_ESPECIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIPO_ESPECIAL ::= character,TIPO_ESPECIAL ::= boolean,TIPO_ESPECIAL ::= string,TIPO_ESPECIAL ::= integer
LUGAR,,,,,,,,,,,,,,,,LUGAR ::= IF_INIT,,LUGAR ::= LOOP_WHILE,LUGAR ::= LOOP_FOR,LUGAR ::= RETURN_INIT,,LUGAR ::= PILA_INPUT,LUGAR ::= BREAK_ORACION,LUGAR ::= FUERA_INIT,,,,,,,,,,,,,,,,,
